Original|Swapped_To|Type
The Men Who Stare at Goats|Our Man Flint|title
The Merchant of Four Seasons|Nick of Time|title
The Merchant of Venice|A Brief History of Time|title
The Merry Gentleman|King's Ransom|title
The Merry Widow|The Seventh Continent|title
The Messenger|The Grey Zone|title
The Messengers|Warning from Space|title
The Meteor Man|It's All Gone Pete Tong|title
The Method|Runaway Train|title
The Mexican|The Wind That Shakes the Barley|title
The Midnight Meat Train|The Whisperer in Darkness|title
The Mighty|film noir|title
The Mighty Ducks|My Man|title
The Mighty Macs|Lost Angels|title
The Mighty Quinn|Last Orders|title
The Mikado|Charlie Chan in Paris|title
The Milagro Beanfield War|In Search of the Castaways|title
The Milk of Sorrow|Storm Warning|title
The Milky Way|Belly|title
The Mill and the Cross|In the Good Old Summertime|title
The Million Dollar Duck|Tears of the Sun|title
The Million Dollar Hotel|Crimes of the Future|title
The Mindscape of Alan Moore|City Limits|title
The Minion|Castle in the Sky|title
The Minus Man|Charlie Chan at the Opera|title
The Miracle Woman|Steel Toes|title
The Miracle Worker|The Plastic Age|title
The Miracle of Bern|The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom|title
The Miracle of Morgan's Creek|A Tale of Springtime|title
The Miracle of Our Lady of Fatima|A Modern Affair|title
The Mirror|Missionary Man|title
The Mirror Crack'd|The Motorcycle Diaries|title
The Mirror Has Two Faces|Homicidal|title
The Misadventures of Margaret|Disco Dancer|title
The Misfits|This Is Not a Film|title
The Misfortunates|Identification of a Woman|title
The Missing|Phil Spector|title
The Missing Person|The New York Ripper|title
The Missing Picture|The Second Woman|title
The Missing Star|Stella|title
The Mission|King Kong vs. Godzilla|title
The Missionary|Genghis Khan|title
The Missouri Breaks|Mr. Holland's Opus|title
The Mist|Consuming Spirits|title
The Mistress of Spices|Johnny English|title
The Mob|Fox and His Friends|title
The Mod Squad|Battle Royale|title
The Moderns|The Burning|title
The Mole People|Camille Claudel 1915|title
The Molly Maguires|Mixed Nuts|title
The Moment After|Geography Club|title
The Moment of Truth|The Convent|title
The Money Pit|Trading Places|title
The Monitor|I Heart Huckabees|title
The Monk|Lilting|title
The Monkey King|Boom Town|title
The Monkey's Mask|Wolfen|title
The Monkey's Paw|Timber Falls|title
The Monster|Regret to Inform|title
The Monster Club|The Rain People|title
The Monster Squad|Cat and Dog|title
The Monster That Challenged the World|Babylon A.D.|title
The Monster Walks|Godzilla vs. Mechagodzilla|title
The Monuments Men|The Bad News Bears|title
The Moon Is Blue|The Cimarron Kid|title
The Moon-Spinners|Race with the Devil|title
The Mooring|Teenage Dirtbag|title
The More the Merrier|Sade|title
The Morning After|A Home at the End of the World|title
The Mortal Storm|Harvey|title
The Mosquito Coast|Drive Angry|title
The Mosquito Net|Leprechaun|title
The Most Dangerous Game|The 47 Ronin|title
The Most Hated Family in America|Planet of the Apes|title
The Motel|Korczak|title
The Motel Life|Zaza|title
The Moth Diaries|Agent Vinod|title
The Mother|Strings|title
The Mother and the Whore|Dracula A.D. 1972|title
The Mothman Prophecies|It Happened at the World's Fair|title
The Motorcycle Diaries|That Hagen Girl|title
The Mountain|The Pick-up Artist|title
The Mountain Men|D-Day|title
The Mountain of the Cannibal God|Lady on a Train|title
The Mourning Forest|Slacker Uprising|title
The Mouse That Roared|Behind the Sun|title
The Mouse on the Moon|Man of the East|title
The Mudge Boy|Oxford Blues|title
The Mudlark|Control Room|title
The Mummy|Grotesque|title
The Mummy Returns|Corvette Summer|title
The Mummy's Shroud|Thunder Rock|title
The Muppet Christmas Carol|Taxi 3|title
The Muppet Movie|Outland|title
The Muppets|The Westerner|title
The Muppets Take Manhattan|Victor Victoria|title
The Murderer Lives at Number 21|Attenberg|title
The Muse|The Lost Boys|title
The Music Box|The Glass Agency|title
The Music Lovers|The Karate Kid, Part III|title
The Music Man|Winnie the Pooh|title
The Music Never Stopped|Jindabyne|title
The Music of Chance|Kill Your Darlings|title
The Musketeer|Curly Sue|title
The Mysteries of Pittsburgh|Dolphin Tale|title
The Mysterious Island|The House on 92nd Street|title
The Mysterious Lady|The Marrying Kind|title
The Mysterious X|Rollerball|title
The Mystery of the Leaping Fish|Moonrise|title
The Mystic Masseur|Crime Wave|title
The Myth|Rio Sex Comedy|title
The Myth of Fingerprints|The Blues Brothers|title
The Myth of the American Sleepover|It's a Boy Girl Thing|title
The Naked City|Joey|title
The Naked Civil Servant|A Gathering of Old Men|title
The Naked Edge|Grace Is Gone|title
The Naked Face|The Unholy Wife|title
The Naked Jungle|The Overnighters|title
The Naked Kiss|A Bullet for the General|title
The Naked Man|Ishq|title
The Naked Prey|Tracers|title
The Naked Spur|Red Lights|title
The Name of the Rose|Under the Same Moon|title
The Nameless|A Guy Named Joe|title
The Names of Love|Tennessee Johnson|title
The Namesake|Offside|title
The Nanny|The Adventures of Tintin|title
The Nanny Diaries|The Old Lady Who Walked in the Sea|title
The Narrow Margin|The Town Is Quiet|title
The Nativity|In China They Eat Dogs|title
The Natural|Outcast of the Islands|title
The Nature of the Beast|The Calcium Kid|title
The Navigators|Blessed Event|title
The Nazis Strike|The Amazing Screw-On Head|title
The Necessities of Life|A Bridge Too Far|title
The Negotiator|Sinners and Saints|title
The Neon Bible|The Dinosaur Project|title
The Net|Claire Dolan|title
The Net 2.0|Meet the Deedles|title
The NeverEnding Story|Theodora Goes Wild|title
The New Adventures of Pippi Longstocking|It's Christmastime Again, Charlie Brown|title
The New Age|Morituri|title
The New Babylon|Mortal Kombat|title
The New Centurions|Varsity Blues|title
The New Country|Day Watch|title
The New Daughter|Waterboys|title
The New Girlfriend|It Happens Every Spring|title
The New Guy|Secret|title
The New Land|John Wick|title
The New Legend of Shaolin|Random Harvest|title
The New One-Armed Swordsman|Yuva|title
The New Rulers of the World|C.R.A.Z.Y.|title
The New World|I Don't Want to Sleep Alone|title
The New York Ripper|The Pied Piper|title
The Newest Pledge|The Robber|title
The Newton Boys|Clash by Night|title
The Next Best Thing|Charlie Chan at the Olympics|title
The Next Karate Kid|Decoy|title
The Next Man|Day of the Dead|title
The Next Three Days|Motorama|title
The Next Voice You Hear...|Close to Leo|title
The Night Flier|Love and Bullets|title
The Night Listener|Death Watch|title
The Night Porter|StreetDance 3D|title
The Night Stalker|Papillon|title
The Night Strangler|Love Me or Leave Me|title
The Night That Panicked America|Whistling in Brooklyn|title
The Night They Raided Minsky's|Piccadilly|title
The Night Visitor|Phantom of the Megaplex|title
The Night Walker|Black Dog|title
The Night of the Following Day|Synecdoche, New York|title
The Night of the Generals|Touch of Evil|title
The Night of the Hunter|Coherence|title
The Night of the Iguana|The Baader Meinhof Complex|title
The Night of the Shooting Stars|The Backwoods|title
The Night the Lights Went Out in Georgia|The Solid Gold Cadillac|title
The Nightmare Before Christmas|The New Land|title
The Nine Lives of Fritz the Cat|Contamination|title
The Nine Lives of Tomas Katz|Screamers|title
The Nines|The Winning Team|title
The Ninth Configuration|Bone|title
The Ninth Gate|The French Connection|title
The Nomi Song|Mary and Max|title
The Normal Heart|Up in Arms|title
The North Avenue Irregulars|Blackfish|title
The North Star|One of Our Aircraft Is Missing|title
The Northerners|Airport 1975|title
The Notebook|No Deposit, No Return|title
The Notorious Bettie Page|Something the Lord Made|title
The Notorious Landlady|The Ox-Bow Incident|title
The November Man|When Willie Comes Marching Home|title
The Nude Bomb|Happy Accidents|title
The Number 23|The Road to Wellville|title
The Numbers Station|Where the Heart Is|title
The Nun|Aftershock|title
The Nun's Story|Sabretooth|title
The Nut Job|Beachhead|title
The Nutcracker Prince|Doc Hollywood|title
The Nutty Professor|The Truth of Lie|title
The Oak|The Christmas Wish|title
The Object of Beauty|Tess|title
The Object of My Affection|Psychosis|title
The Objective|Bride of the Monster|title
The Oblong Box|So Much So Fast|title
The Octagon|Critters 4|title
The Odd Couple|Sherman's March|title
The Odd Couple II|As Cool as I Am|title
The Odd Life of Timothy Green|Who's the Man?|title
The Odessa File|Dorian Blues|title
The Offence|The Shaggy Dog|title
The Official Story|The Public Woman|title
The Oh in Ohio|711 Ocean Drive|title
The Oklahoma Kid|A Midsummer Night's Dream|title
The Old Dark House|Vampire Academy|title
The Old Fashioned Way|Bombardier|title
The Old Lady Who Walked in the Sea|The Brave|title
The Old Lady and the Pigeons|Gone with the Wind|title
The Old Maid|The Dangerous Lives of Altar Boys|title
The Old Man and the Sea|Big Deal on Madonna Street|title
The Olsen Gang|Bed of Roses|title
The Olsen Gang on the Track|The Spy Next Door|title
The Omega Code|Dracula Has Risen from the Grave|title
The Omega Man|The Tough Ones|title
The Omen|Employees' Entrance|title
The One|The Reivers|title
The One I Love|Bad Day at Black Rock|title
The One Percent|The Scent of Green Papaya|title
The One and Only|Shamus|title
The One and Only, Genuine, Original Family Band|Strul|title
The Onion Field|Nightmare|title
The Onion Movie|The Last Angry Man|title
The Only Son|Slow Burn|title
The Open Road|Mrs. Winterbourne|title
The Opportunists|Commando|title
The Opposite Sex|The Son of Monte Cristo|title
The Opposite of Sex|White House Down|title
The Oranges|The Man of My Life|title
The Order|Ride Lonesome|title
The Organization|Darkness Falls|title
The Organizer|Watercolors|title
The Original Kings of Comedy|I'm Not Scared|title
The Orphanage|Silverado|title
The Oscar|No Strings Attached|title
The Osterman Weekend|Shadows in the Sun|title
The Other|Extreme Movie|title
The Other Boleyn Girl|22 Jump Street|title
The Other Dream Team|Dead of Winter|title
The Other End of the Line|No One Writes to the Colonel|title
The Other F Word|Waitress|title
The Other Guys|The Bride Comes Home|title
The Other Man|Dead End Drive-In|title
The Other Side of Heaven|Love Is All There Is|title
The Other Side of Midnight|Sodom and Gomorrah|title
The Other Side of Sunday|Proof of Life|title
The Other Side of the Bed|The Student Prince in Old Heidelberg|title
The Other Side of the Mountain|Deep Red|title
The Other Sister|The Mask of Fu Manchu|title
The Other Son|The Bannen Way|title
The Other Woman|Lore|title
The Others|Where Love Has Gone|title
The Out-of-Towners|Frankenstein|title
The Outfit|Xtro|title
The Outlaw|Fugitive Pieces|title
The Outlaw Josey Wales|Stockholm East|title
The Outside Man|Ocean's Eleven|title
The Outsider|Like Father Like Son|title
The Outsiders|Death and the Maiden|title
The Overbrook Brothers|High Life|title
The Overcoat|Shake Hands with the Devil|title
The Overnighters|The World According to Garp|title
The Owl and the Pussycat|Breakdown|title
The Ox-Bow Incident|Suspicious River|title
The Oxford Murders|Some Girls|title
The Pacifier|The Uninvited|title
The Package|Infamous|title
The Pact|The Badge|title
The Page Turner|True Colors|title
The Pagemaster|Wilde|title
The Painted Veil|Priceless|title
The Pajama Game|Scanners|title
The Paleface|Pete Kelly's Blues|title
The Pallbearer|The Paradine Case|title
The Palm Beach Story|Pool of London|title
The Panic in Needle Park|Juice|title
The Paper|The Crash Reel|title
The Paper Chase|Boynton Beach Club|title
The Paper Will Be Blue|Double or Nothing|title
The Paperboy|Quinceañera|title
The Paradine Case|Incubus|title
The Parallax View|The Big Country|title
The Parent Trap|Scary Movie 4|title
The Park Is Mine|Of Time and the City|title
The Party|The Panic in Needle Park|title
The Passenger|Appointment with Danger|title
The Passion of Anna|Dangerous Minds|title
The Passion of Ayn Rand|The Seven-Per-Cent Solution|title
The Passion of Darkly Noon|Shanghai Kiss|title
The Passion of Joan of Arc|The Bedroom Window|title
The Passion of the Christ|Eddie|title
The Passionate Friends|Unlawful Killing|title
The Past|A Far Off Place|title
The Patience Stone|Diary of a Nymphomaniac|title
The Patriot|Bustin' Down the Door|title
The Patsy|Hair|title
The Pawnbroker|A Resurrection|title
The Peacekeeper|Ready to Rumble|title
The Peacemaker|Trans|title
The Peach Thief|The Day of the Doctor|title
The Peanut Butter Solution|Red Eye|title
The Pearl of Death|At the Circus|title
The Pebble and the Penguin|A Summer in La Goulette|title
The Pelican|Firecreek|title
The Pelican Brief|The Dawn Patrol|title
The Penalty|We Don't Live Here Anymore|title
The Pentagon Papers|On the Edge|title
The Pentagon Wars|Jonathan Livingston Seagull|title
The People That Time Forgot|Island of Fire|title
The People Under the Stairs|Stealth|title
The People vs. Larry Flynt|Haywire|title
The Perez Family|Darby O'Gill and the Little People|title
The Perfect Circle|The Rum Diary|title
The Perfect Family|Courageous|title
The Perfect Game|Skin Game|title
The Perfect Holiday|Just a Gigolo|title
The Perfect Host|Dark Victory|title
The Perfect Human|A Good Woman|title
The Perfect Man|Casualties of War|title
The Perfect Murder|Garfield's Pet Force|title
The Perfect Score|Stardust|title
The Perfect Storm|Chicago Cab|title
The Perfume of the Lady in Black|Noi the Albino|title
The Perils of Pauline|Seven Swords|title
The Perks of Being a Wallflower|Fernando León de Aranoa|title
The Pervert's Guide to Cinema|Bride of Boogedy|title
The Pervert's Guide to Ideology|Le Plaisir|title
The Pest|Get to Know Your Rabbit|title
The Petrified Forest|Summer Rental|title
The Phantom|Kissing a Fool|title
The Phantom Carriage|A Woman Rebels|title
The Phantom Light|The Namesake|title
The Phantom Tollbooth|Life of a King|title
The Phantom of Liberty|Before Night Falls|title
The Phantom of the Opera|Dynamite|title
The Phenix City Story|The White Cliffs of Dover|title
The Philadelphia Experiment|My Blueberry Nights|title
The Philadelphia Story|Don't Tell Mom the Babysitter's Dead|title
The Pianist|The Avengers|title
The Piano|Bobby|title
The Piano Teacher|Itty Bitty Titty Committee|title
The Pick-up Artist|Three Outlaw Samurai|title
The Pickle|Pan|title
The Picture of Dorian Gray|Spy Game|title
The Pied Piper|Taken 3|title
The Pilgrim|Gorgeous|title
The Pill|Murder Party|title
The Pillow Book|Kidnapped for Christ|title
The Pinchcliffe Grand Prix|Adão e Eva|title
The Pink Panther|The Associate|title
The Pink Panther 2|Sixty Six|title
The Pirate|Some Kind of Hero|title
The Pirate Movie|Calvaire|title
The Pirates of Blood River|Drömkåken|title
The Pirates of Penzance|Donkey Punch|title
The Pit|Paparazzi|title
The Pit and the Pendulum|The Oxford Murders|title
The Pixar Story|Arthur|title
The Place Beyond the Pines|Swing|title
The Place Promised in Our Early Days|Don't Go Breaking My Heart|title
The Plague Dogs|Henry Poole Is Here|title
The Plague of the Zombies|The Wild|title
The Plainsman|Going Overboard|title
The Plastic Age|Wicked Blood|title
The Playboys|Stash House|title
The Player|Love Object|title
The Players|A Short Film About John Bolton|title
